Education,PaymentTier,Age,Gender,YearsInCompany,YearsCategory_Intermediate,YearsCategory_Senior
0,3,34,1,7,0,1
0,1,28,0,11,0,1
0,3,38,0,10,0,1
1,3,27,1,8,0,1
1,3,24,1,7,0,1
0,3,22,1,8,0,1
0,3,38,1,9,0,1
0,3,34,0,8,0,1
0,3,23,1,8,0,1
1,2,37,1,7,0,1
1,3,27,1,12,0,1
0,3,34,1,8,0,1
0,3,32,1,6,1,0
0,3,39,1,8,0,1
0,3,37,1,12,0,1
0,1,29,1,7,0,1
0,3,34,0,10,0,1
0,3,34,1,10,0,1
0,2,30,0,9,0,1
0,2,22,0,8,0,1
0,3,37,1,12,0,1
1,2,28,1,7,0,1
0,2,36,1,7,0,1
0,3,27,1,9,0,1
0,3,29,1,7,0,1
0,3,22,0,11,0,1
0,3,37,1,8,0,1
0,3,23,1,9,0,1
0,2,31,0,11,0,1
1,2,30,0,7,0,1
2,3,25,1,11,0,1
0,3,23,1,10,0,1
0,3,26,1,6,1,0
0,3,40,1,8,0,1
0,2,37,0,7,0,1
0,1,30,0,10,0,1
0,3,29,1,12,0,1
0,2,34,0,6,1,0
0,2,29,0,7,0,1
0,3,30,1,10,0,1
0,3,36,1,9,0,1
1,2,23,1,7,0,1
0,3,30,1,11,0,1
0,3,36,1,10,0,1
0,3,39,1,9,0,1
0,3,23,0,10,0,1
2,3,27,1,12,0,1
1,3,35,1,11,0,1
1,2,34,1,7,0,1
0,3,30,0,11,0,1
2,3,34,1,7,0,1
0,2,26,0,9,0,1
0,3,34,0,8,0,1
0,3,31,0,10,0,1
0,3,31,0,7,0,1
2,3,28,1,11,0,1
0,3,38,1,8,0,1
1,3,39,0,10,0,1
0,3,32,1,11,0,1
1,2,36,1,7,0,1
1,3,29,1,11,0,1
0,3,30,1,9,0,1
2,2,25,1,11,0,1
0,1,22,0,10,0,1
0,3,34,1,8,0,1
0,3,40,1,6,1,0
2,3,26,1,11,0,1
0,3,28,1,10,0,1
0,3,24,0,9,0,1
1,3,40,0,7,0,1
0,3,23,0,6,1,0
1,3,31,1,7,0,1
0,3,25,0,10,0,1
0,1,27,1,10,0,1
1,2,25,0,7,0,1
0,3,40,1,9,0,1
0,1,23,0,10,0,1
0,3,23,0,7,0,1
0,3,39,1,12,0,1
2,1,37,1,9,0,1
0,3,38,1,7,0,1
0,3,31,0,11,0,1
0,3,38,1,8,0,1
0,3,25,0,7,0,1
0,3,27,0,9,0,1
0,2,36,1,8,0,1
0,2,27,0,7,0,1
1,2,32,0,9,0,1
0,3,28,1,10,0,1
1,3,32,1,12,0,1
0,3,30,1,6,1,0
0,3,22,1,9,0,1
0,2,34,0,7,0,1
1,3,36,1,11,0,1
0,3,39,1,10,0,1
2,3,26,1,6,1,0
0,3,31,0,8,0,1
0,3,27,1,10,0,1
0,3,29,0,10,0,1
0,3,24,0,9,0,1
1,3,25,1,12,0,1
0,3,25,1,11,0,1
1,3,26,0,7,0,1
0,2,28,0,9,0,1
0,3,28,1,7,0,1
1,1,28,0,9,0,1
1,3,25,1,9,0,1
0,3,28,1,7,0,1
1,3,25,1,11,0,1
0,2,25,0,9,0,1
0,3,27,0,9,0,1
0,3,27,1,11,0,1
0,3,25,1,12,0,1
1,2,28,1,7,0,1
0,1,26,0,10,0,1
0,3,28,1,9,0,1
1,3,26,1,11,0,1
0,3,26,0,7,0,1
0,2,25,1,7,0,1
0,1,28,0,12,0,1
2,3,26,1,9,0,1
0,3,25,0,9,0,1
0,3,26,1,12,0,1
0,3,28,0,10,0,1
1,3,24,1,10,0,1
0,3,28,1,11,0,1
0,3,27,1,9,0,1
0,3,25,1,6,1,0
1,1,24,1,11,0,1
0,3,28,1,11,0,1
1,3,27,1,8,0,1
1,3,26,1,7,0,1
1,2,24,1,7,0,1
1,3,26,1,6,1,0
1,1,25,0,7,0,1
0,3,28,1,12,0,1
0,3,26,1,11,0,1
1,3,27,1,11,0,1
0,2,24,0,7,0,1
0,3,28,0,7,0,1
0,3,26,1,8,0,1
0,3,27,0,11,0,1
1,2,28,0,9,0,1
0,3,25,1,10,0,1
0,3,28,1,8,0,1
1,1,25,1,11,0,1
0,3,26,1,9,0,1
0,3,27,0,6,1,0
0,3,24,1,8,0,1
0,2,24,0,12,0,1
0,3,26,1,10,0,1
0,2,24,0,8,0,1
1,3,26,0,12,0,1
0,3,28,0,11,0,1
0,3,24,1,12,0,1
0,3,25,1,9,0,1
0,3,28,1,8,0,1
0,3,26,0,11,0,1
1,3,24,0,7,0,1
0,3,25,1,8,0,1
0,3,25,1,9,0,1
0,3,27,1,10,0,1
0,3,24,1,12,0,1
0,3,28,1,9,0,1
1,3,26,1,9,0,1
0,3,28,0,10,0,1
0,3,25,1,9,0,1
1,2,28,0,9,0,1
0,3,27,0,10,0,1
0,3,24,0,10,0,1
0,3,27,1,12,0,1
1,3,27,1,7,0,1
0,3,24,1,6,1,0
1,2,28,0,7,0,1
1,2,24,1,7,0,1
1,3,25,0,8,0,1
2,3,28,0,9,0,1
0,2,26,1,7,0,1
0,2,27,1,11,0,1
0,3,26,1,9,0,1
0,3,25,0,11,0,1
0,3,28,1,11,0,1
0,3,24,1,7,0,1
0,3,27,0,11,0,1
0,3,28,1,9,0,1
0,3,28,1,9,0,1
0,2,25,0,10,0,1
0,3,27,1,7,0,1
0,2,26,0,10,0,1
2,3,24,1,11,0,1
0,3,25,1,7,0,1
1,2,27,1,11,0,1
1,3,28,1,7,0,1
0,3,25,1,12,0,1
1,2,27,0,7,0,1
1,2,28,0,11,0,1
1,3,28,1,7,0,1
0,3,27,0,6,1,0
0,3,25,0,10,0,1
1,3,26,1,11,0,1
0,2,25,0,11,0,1
1,3,26,1,12,0,1
0,2,26,1,11,0,1
0,3,28,0,6,1,0
0,3,27,1,11,0,1
0,1,24,0,9,0,1
0,3,28,1,11,0,1
0,2,27,0,9,0,1
0,2,27,0,10,0,1
0,3,24,1,11,0,1
0,3,24,1,10,0,1
2,2,25,0,9,0,1
0,3,26,1,10,0,1
1,2,25,0,9,0,1
0,3,24,1,9,0,1
1,2,26,0,7,0,1
0,3,28,1,12,0,1
1,2,26,0,7,0,1
0,3,25,1,8,0,1
0,3,24,1,7,0,1
0,2,28,0,11,0,1
0,3,25,0,10,0,1
0,2,24,0,10,0,1
0,3,28,1,9,0,1
0,3,27,1,9,0,1
0,3,26,1,8,0,1
1,3,26,0,9,0,1
0,1,28,0,8,0,1
0,3,25,1,10,0,1
0,3,28,1,7,0,1
1,3,24,0,6,1,0
0,2,25,1,7,0,1
0,2,24,0,6,1,0
1,2,28,0,7,0,1
0,1,27,0,11,0,1
0,2,27,0,7,0,1
0,2,27,0,8,0,1
1,3,24,1,6,1,0
0,1,26,1,12,0,1
1,1,27,1,8,0,1
0,3,26,0,9,0,1
0,3,27,1,12,0,1
0,3,24,1,11,0,1
0,3,26,0,6,1,0
1,2,26,0,7,0,1
1,2,28,0,7,0,1
1,3,25,1,11,0,1
0,3,28,0,6,1,0
0,3,27,0,11,0,1
0,3,28,1,10,0,1
0,3,28,0,7,0,1
1,2,28,1,7,0,1
1,3,26,1,7,0,1
0,1,25,0,9,0,1
1,3,27,1,11,0,1
2,3,24,0,10,0,1
1,2,27,0,7,0,1
0,3,26,1,12,0,1
1,3,27,0,9,0,1
0,3,24,1,8,0,1
1,2,25,0,7,0,1
0,2,28,1,7,0,1
0,3,27,0,12,0,1
0,3,26,0,9,0,1
0,3,28,1,10,0,1
0,3,24,0,8,0,1
0,3,28,1,12,0,1
0,3,27,1,12,0,1
0,3,27,0,10,0,1
0,3,26,0,9,0,1
1,3,26,1,10,0,1
2,3,25,0,9,0,1
0,3,27,1,12,0,1
1,2,24,0,7,0,1
1,3,28,0,9,0,1
0,3,24,0,7,0,1
0,3,25,1,7,0,1
0,1,25,1,7,0,1
0,3,26,1,7,0,1
0,3,25,0,10,0,1
0,3,26,0,6,1,0
0,3,27,1,8,0,1
0,3,28,0,7,0,1
1,3,24,0,12,0,1
0,3,26,0,9,0,1
0,3,25,1,6,1,0
1,3,24,1,7,0,1
0,3,28,1,11,0,1
0,3,24,1,7,0,1
0,2,28,0,11,0,1
0,2,27,0,9,0,1
0,3,24,0,6,1,0
0,3,24,1,11,0,1
0,3,24,0,11,0,1
0,3,24,0,12,0,1
0,3,24,1,8,0,1
0,2,27,1,7,0,1
0,2,27,0,12,0,1
1,2,27,1,7,0,1
0,2,24,1,7,0,1
0,1,26,0,8,0,1
0,3,26,0,9,0,1
0,3,26,1,12,0,1
0,3,25,0,7,0,1
1,2,26,1,7,0,1
1,2,25,0,9,0,1
0,2,26,0,7,0,1
0,3,27,0,7,0,1
0,3,24,0,9,0,1
1,1,26,0,7,0,1
0,1,28,0,7,0,1
0,3,25,0,10,0,1
0,3,28,1,10,0,1
0,3,28,1,7,0,1
1,1,27,1,9,0,1
1,3,25,1,6,1,0
0,3,28,0,8,0,1
0,3,26,0,6,1,0
0,2,24,0,9,0,1
0,3,27,1,7,0,1
0,3,24,1,10,0,1
0,3,28,1,8,0,1
0,2,25,0,9,0,1
0,3,27,1,11,0,1
0,3,28,1,9,0,1
0,2,24,0,10,0,1
0,3,24,1,11,0,1
0,3,28,1,6,1,0
0,2,26,1,10,0,1
2,3,25,1,11,0,1
0,2,28,0,7,0,1
0,1,26,0,9,0,1
1,3,26,1,7,0,1
0,3,24,0,12,0,1
0,2,24,1,7,0,1
0,3,26,0,12,0,1
1,3,25,1,10,0,1
0,3,24,1,8,0,1
0,3,26,0,8,0,1
0,2,25,0,9,0,1
1,2,25,1,11,0,1
0,2,26,0,9,0,1
1,2,26,0,9,0,1
0,3,27,0,12,0,1
1,3,28,1,7,0,1
0,3,27,0,11,0,1
0,3,26,1,9,0,1
0,2,27,1,7,0,1
2,3,25,1,6,1,0
0,3,27,1,10,0,1
1,2,24,0,7,0,1
2,2,28,1,8,0,1
1,2,27,1,7,0,1
2,3,27,1,11,0,1
1,3,28,0,10,0,1
0,3,27,1,7,0,1
1,3,26,1,10,0,1
1,3,27,1,12,0,1
0,3,26,1,7,0,1
1,2,27,1,7,0,1
0,3,27,1,8,0,1
0,3,25,1,10,0,1
1,3,24,1,12,0,1
0,2,25,1,11,0,1
0,3,26,1,11,0,1
0,3,25,1,9,0,1
2,3,24,1,12,0,1
1,3,24,0,9,0,1
1,3,24,1,7,0,1
0,1,25,1,10,0,1
0,3,28,1,6,1,0
0,3,28,1,7,0,1
1,3,28,0,11,0,1
0,3,26,1,11,0,1
1,1,24,1,6,1,0
2,2,27,0,11,0,1
1,3,28,1,6,1,0
0,3,28,1,10,0,1
0,3,24,0,11,0,1
0,2,28,0,9,0,1
0,2,28,0,7,0,1
1,3,27,0,12,0,1
1,3,25,0,7,0,1
1,2,27,1,7,0,1
1,2,24,1,7,0,1
0,2,24,1,11,0,1
2,2,28,0,9,0,1
1,3,27,1,10,0,1
0,3,25,1,6,1,0
0,3,26,1,11,0,1
0,3,25,1,9,0,1
0,2,25,0,7,0,1
0,3,25,1,12,0,1
0,3,28,0,10,0,1
0,3,26,1,6,1,0
1,3,28,1,10,0,1
1,3,25,1,7,0,1
0,3,28,1,6,1,0
0,3,24,1,12,0,1
0,3,28,0,9,0,1
0,3,24,0,8,0,1
0,3,25,0,12,0,1
0,3,28,1,12,0,1
0,3,27,0,8,0,1
1,2,24,0,9,0,1
1,3,24,0,10,0,1
0,3,25,1,11,0,1
0,2,28,1,7,0,1
2,3,24,1,10,0,1
1,2,26,0,7,0,1
1,3,25,1,6,1,0
0,3,25,1,10,0,1
0,3,28,0,6,1,0
1,2,25,1,7,0,1
1,3,28,1,11,0,1
1,3,25,0,11,0,1
0,3,25,1,8,0,1
1,2,26,1,7,0,1
0,3,28,1,11,0,1
1,3,28,0,9,0,1
1,2,27,0,10,0,1
1,1,27,0,9,0,1
0,1,28,1,11,0,1
0,2,26,0,12,0,1
1,2,25,1,7,0,1
0,3,26,1,7,0,1
0,3,28,0,10,0,1
0,2,28,0,9,0,1
0,3,27,0,8,0,1
1,3,25,1,6,1,0
0,3,26,1,10,0,1
2,3,27,1,7,0,1
0,3,28,1,11,0,1
0,3,27,1,6,1,0
0,2,25,0,7,0,1
0,2,26,0,7,0,1
1,2,26,1,7,0,1
1,3,28,0,9,0,1
0,2,25,1,12,0,1
0,3,25,0,8,0,1
1,2,26,0,12,0,1
1,3,27,1,8,0,1
2,3,28,1,7,0,1
0,1,27,1,6,1,0
0,3,28,0,6,1,0
0,3,27,1,8,0,1
1,3,24,0,9,0,1
0,3,24,1,7,0,1
1,3,28,1,11,0,1
0,3,27,0,7,0,1
0,3,26,1,8,0,1
0,3,28,0,10,0,1
0,3,28,1,8,0,1
1,3,27,1,7,0,1
1,3,26,1,7,0,1
0,3,25,1,11,0,1
0,2,28,0,9,0,1
2,1,26,1,11,0,1
1,3,27,1,12,0,1
0,1,28,1,8,0,1
1,2,24,0,7,0,1
0,1,25,0,9,0,1
0,3,25,0,9,0,1
0,3,24,1,9,0,1
0,1,25,1,6,1,0
1,2,28,0,7,0,1
0,3,28,0,10,0,1
0,2,24,0,7,0,1
2,2,25,1,11,0,1
0,1,25,1,9,0,1
2,3,28,1,10,0,1
1,3,27,0,6,1,0
0,3,27,0,8,0,1
1,2,25,1,7,0,1
0,3,27,0,8,0,1
0,3,28,0,6,1,0
0,3,28,1,6,1,0
0,1,26,0,7,0,1
0,3,24,1,11,0,1
0,3,26,0,12,0,1
0,3,25,1,12,0,1
1,2,24,1,11,0,1
0,3,28,0,8,0,1
1,3,24,1,10,0,1
0,3,25,0,9,0,1
0,2,27,0,9,0,1
0,3,27,0,7,0,1
1,1,24,1,7,0,1
0,3,28,1,9,0,1
1,3,27,1,11,0,1
0,2,28,0,9,0,1
0,3,27,0,7,0,1
0,2,27,1,9,0,1
0,3,27,1,6,1,0
0,2,24,0,11,0,1
0,2,28,0,9,0,1
0,3,24,0,8,0,1
1,3,24,1,7,0,1
1,3,24,1,8,0,1
0,3,28,1,11,0,1
0,1,28,0,9,0,1
2,3,24,0,6,1,0
0,3,26,1,8,0,1
0,3,25,1,11,0,1
1,3,24,1,8,0,1
0,1,25,0,7,0,1
0,3,28,1,11,0,1
1,3,24,1,10,0,1
2,3,24,1,12,0,1
0,3,25,1,10,0,1
0,2,26,1,12,0,1
1,3,28,0,7,0,1
0,3,28,0,12,0,1
0,3,27,0,12,0,1
1,3,28,1,8,0,1
0,3,25,0,8,0,1
1,3,28,0,9,0,1
0,1,24,0,11,0,1
0,3,25,0,9,0,1
0,1,25,0,8,0,1
1,3,25,1,11,0,1
1,3,25,0,11,0,1
0,1,28,0,11,0,1
1,3,27,0,10,0,1
0,3,25,1,7,0,1
0,2,27,1,11,0,1
0,3,25,1,8,0,1
0,3,25,1,7,0,1
1,3,28,0,9,0,1
0,2,26,0,11,0,1
0,3,28,0,11,0,1
0,2,25,1,12,0,1
0,3,27,0,7,0,1
0,2,24,0,9,0,1
0,3,24,0,7,0,1
0,2,25,0,7,0,1
0,3,28,0,8,0,1
1,2,25,1,7,0,1
1,2,25,0,7,0,1
0,3,24,0,7,0,1
0,3,24,1,6,1,0
0,3,28,1,8,0,1
1,2,24,1,7,0,1
0,3,24,1,7,0,1
1,3,25,0,10,0,1
0,3,28,1,7,0,1
0,3,28,1,12,0,1
0,3,28,0,12,0,1
2,3,24,0,8,0,1
1,2,27,0,7,0,1
1,2,27,0,11,0,1
0,3,26,0,9,0,1
1,3,28,0,9,0,1
0,3,26,0,9,0,1
0,3,24,1,12,0,1
0,3,24,1,11,0,1
0,2,27,0,11,0,1
1,2,26,1,7,0,1
0,2,25,1,11,0,1
0,3,26,0,11,0,1
0,3,27,1,9,0,1
0,3,24,1,9,0,1
0,3,26,0,12,0,1
1,3,27,1,10,0,1
1,2,26,1,7,0,1
1,3,25,1,10,0,1
0,2,27,1,7,0,1
0,3,26,1,10,0,1
0,1,27,1,7,0,1
0,3,28,1,7,0,1
0,3,27,1,7,0,1
1,2,26,0,7,0,1
0,3,28,1,10,0,1
1,3,28,1,7,0,1
0,3,28,1,7,0,1
0,3,24,0,11,0,1
0,3,25,0,6,1,0
0,3,24,0,10,0,1
1,1,24,0,11,0,1
1,1,24,1,11,0,1
2,3,24,0,6,1,0
0,3,28,1,9,0,1
2,2,28,0,9,0,1
0,3,25,1,6,1,0
0,3,27,0,9,0,1
1,3,28,1,12,0,1
0,2,27,0,12,0,1
0,3,25,0,6,1,0
1,3,27,1,6,1,0
1,2,28,1,7,0,1
0,3,28,0,7,0,1
0,3,26,0,10,0,1
0,3,26,0,7,0,1
0,3,25,0,12,0,1
0,3,25,1,7,0,1
0,3,28,0,11,0,1
0,3,24,0,11,0,1
1,3,25,1,7,0,1
1,2,28,1,7,0,1
1,2,24,0,7,0,1
1,1,26,0,9,0,1
1,3,26,1,11,0,1
2,3,27,1,8,0,1
1,3,25,0,6,1,0
2,3,26,1,11,0,1
0,3,28,0,9,0,1
1,1,26,0,6,1,0
0,2,24,0,11,0,1
2,1,25,0,8,0,1
0,3,26,1,10,0,1
0,3,28,0,11,0,1
0,1,27,0,8,0,1
0,3,24,1,10,0,1
0,3,25,0,9,0,1
1,3,26,0,8,0,1
0,3,26,1,11,0,1
0,3,28,0,8,0,1
0,3,28,1,9,0,1
0,3,26,0,11,0,1
1,3,28,0,7,0,1
0,3,24,0,12,0,1
1,1,24,1,9,0,1
0,3,24,0,7,0,1
0,3,28,1,10,0,1
1,3,24,1,9,0,1
0,1,24,1,7,0,1
0,3,27,0,10,0,1
0,1,27,0,11,0,1
0,3,28,0,10,0,1
0,3,24,1,9,0,1
1,2,25,0,7,0,1
0,3,28,1,8,0,1
0,3,28,1,9,0,1
1,3,26,1,10,0,1
1,1,24,0,11,0,1
0,2,28,0,8,0,1
0,3,28,1,12,0,1
0,3,25,0,7,0,1
0,1,27,0,12,0,1
0,3,25,0,11,0,1
0,3,28,1,8,0,1
0,3,26,0,10,0,1
0,3,26,1,8,0,1
0,3,27,0,10,0,1
2,2,24,0,9,0,1
2,1,25,0,9,0,1
0,3,25,0,11,0,1
0,3,24,1,10,0,1
1,3,26,1,6,1,0
1,3,28,1,12,0,1
2,3,27,0,6,1,0
0,3,28,1,12,0,1
1,3,24,1,6,1,0
0,2,27,0,6,1,0
1,3,28,0,10,0,1
1,3,25,0,7,0,1
1,3,26,0,7,0,1
1,1,26,0,7,0,1
0,3,28,1,12,0,1
0,3,28,0,11,0,1
1,3,27,1,12,0,1
0,2,24,1,7,0,1
1,3,25,0,7,0,1
0,3,25,0,6,1,0
1,3,28,1,7,0,1
0,3,24,0,10,0,1
0,3,28,0,9,0,1
0,3,28,1,11,0,1
0,2,25,0,9,0,1
0,3,26,1,12,0,1
0,3,28,1,11,0,1
0,3,28,1,12,0,1
0,1,26,1,8,0,1
1,2,28,0,7,0,1
0,3,27,1,10,0,1
0,2,26,0,8,0,1
0,3,27,0,6,1,0
0,3,28,1,12,0,1
0,1,27,0,12,0,1
1,3,24,1,12,0,1
0,2,25,0,11,0,1
1,3,25,1,11,0,1
0,3,24,0,9,0,1
1,3,26,0,12,0,1
0,2,28,0,8,0,1
0,3,24,1,12,0,1
0,3,28,1,9,0,1
1,2,28,0,7,0,1
0,3,28,0,8,0,1
0,3,28,0,9,0,1
0,1,24,1,9,0,1
0,3,28,0,9,0,1
1,2,24,0,7,0,1
0,3,26,0,10,0,1
1,2,28,1,11,0,1
0,1,28,0,11,0,1
1,3,28,1,9,0,1
0,3,27,0,10,0,1
1,3,24,1,6,1,0
0,3,26,1,6,1,0
1,3,24,0,7,0,1
0,3,25,1,7,0,1
0,3,27,1,11,0,1
0,3,26,0,8,0,1
1,2,28,1,7,0,1
1,2,28,1,7,0,1
0,3,26,0,9,0,1
1,3,28,1,6,1,0
2,3,27,1,8,0,1
0,3,28,0,9,0,1
2,3,28,1,9,0,1
0,3,28,1,8,0,1
0,3,26,1,10,0,1
0,3,24,1,8,0,1
0,2,28,0,11,0,1
1,2,24,1,7,0,1
1,2,24,0,9,0,1
0,1,25,0,8,0,1
2,1,25,0,10,0,1
0,3,28,1,10,0,1
1,3,28,1,11,0,1
1,2,26,0,9,0,1
0,3,27,1,8,0,1
1,3,24,0,7,0,1
0,3,27,0,9,0,1
0,2,28,1,7,0,1
0,3,24,1,12,0,1
1,3,25,1,8,0,1
0,3,25,1,10,0,1
0,1,26,1,10,0,1
0,2,26,1,7,0,1
0,3,28,1,9,0,1
0,3,28,0,11,0,1
0,3,28,0,12,0,1
0,3,25,0,7,0,1
0,3,28,0,10,0,1
0,3,27,0,12,0,1
0,2,25,1,8,0,1
0,3,28,0,8,0,1
0,3,25,0,12,0,1
2,3,27,0,7,0,1
0,3,27,1,12,0,1
0,3,25,0,12,0,1
1,3,27,0,9,0,1
0,3,26,0,6,1,0
2,3,28,0,12,0,1
0,3,28,0,11,0,1
0,1,24,0,9,0,1
1,3,27,1,10,0,1
1,1,25,0,7,0,1
1,3,28,1,12,0,1
1,3,28,1,12,0,1
1,3,28,1,7,0,1
1,3,28,1,9,0,1
0,3,28,0,6,1,0
2,3,27,1,12,0,1
0,3,26,0,6,1,0
2,3,27,0,6,1,0
0,1,26,0,9,0,1
0,3,26,0,10,0,1
0,2,28,1,7,0,1
0,3,25,0,11,0,1
0,1,28,0,7,0,1
0,3,27,1,9,0,1
1,2,28,1,11,0,1
1,3,25,1,8,0,1
0,3,28,0,7,0,1
0,1,27,1,12,0,1
0,3,28,0,9,0,1
0,3,26,1,9,0,1
1,2,26,0,9,0,1
1,3,25,1,9,0,1
0,3,27,0,8,0,1
0,3,26,1,6,1,0
0,3,27,1,7,0,1
0,3,28,0,6,1,0
0,3,28,1,9,0,1
0,3,28,0,8,0,1
1,3,28,1,6,1,0
0,2,28,0,7,0,1
0,3,28,1,12,0,1
0,1,24,1,8,0,1
0,3,27,1,8,0,1
0,3,25,0,6,1,0
0,3,24,1,9,0,1
0,3,24,0,11,0,1
0,2,28,1,11,0,1
1,3,28,1,6,1,0
0,3,28,1,8,0,1
0,1,27,1,12,0,1
0,3,28,0,7,0,1
0,2,28,1,7,0,1
0,2,28,0,9,0,1
0,3,25,1,11,0,1
1,2,25,0,7,0,1
0,3,27,1,10,0,1
0,3,24,1,6,1,0
0,2,27,0,9,0,1
1,3,27,0,7,0,1
0,3,27,0,6,1,0
2,3,27,0,11,0,1
0,3,27,1,10,0,1
1,3,26,0,11,0,1
0,3,28,0,7,0,1
2,3,27,0,8,0,1
1,3,28,0,10,0,1
1,3,28,1,9,0,1
0,1,26,0,11,0,1
1,3,28,1,7,0,1
0,3,28,0,12,0,1
0,3,24,0,6,1,0
0,3,24,1,6,1,0
0,2,28,0,6,1,0
0,1,24,1,11,0,1
0,1,28,1,12,0,1
0,2,28,0,8,0,1
0,2,28,1,7,0,1
0,3,25,0,7,0,1
1,3,25,1,11,0,1
0,3,28,1,7,0,1
0,1,24,0,9,0,1
1,3,24,0,11,0,1
0,2,28,0,10,0,1
0,2,28,0,9,0,1
0,3,26,0,8,0,1
0,1,27,1,9,0,1
2,3,26,1,6,1,0
0,3,28,1,10,0,1
1,3,26,0,9,0,1
0,3,27,1,8,0,1
0,3,28,0,8,0,1
1,2,27,0,9,0,1
1,1,28,1,7,0,1
1,3,28,0,9,0,1
0,3,26,1,7,0,1
0,3,28,0,7,0,1
1,2,27,0,9,0,1
0,3,28,0,11,0,1
0,3,28,0,12,0,1
2,3,26,1,6,1,0
0,3,28,1,6,1,0
0,3,26,1,11,0,1
0,3,28,1,11,0,1
2,1,26,1,8,0,1
0,2,28,0,7,0,1
1,3,25,0,10,0,1
0,3,28,1,10,0,1
0,3,28,1,8,0,1
2,3,27,1,7,0,1
1,3,25,1,7,0,1
1,1,26,1,7,0,1
1,3,26,1,12,0,1
2,3,25,1,8,0,1
0,2,25,1,7,0,1
0,3,27,0,9,0,1
1,2,25,1,7,0,1
1,3,24,0,10,0,1
0,3,28,0,10,0,1
0,2,28,0,10,0,1
0,3,25,0,7,0,1
1,2,26,1,7,0,1
0,3,27,0,10,0,1
0,3,28,1,7,0,1
0,1,24,0,9,0,1
0,3,28,0,8,0,1
0,3,27,0,9,0,1
1,3,25,0,8,0,1
0,3,24,1,12,0,1
0,1,24,0,11,0,1
2,3,28,1,7,0,1
0,3,28,1,8,0,1
0,3,24,0,11,0,1
1,3,26,1,7,0,1
0,2,27,1,10,0,1
1,3,25,1,11,0,1
1,3,27,0,12,0,1
1,2,25,1,7,0,1
0,3,28,1,12,0,1
0,3,28,0,7,0,1
0,3,27,1,8,0,1
2,3,28,0,10,0,1
0,2,24,0,11,0,1
0,1,25,0,11,0,1
1,3,28,1,7,0,1
0,3,27,0,7,0,1
1,1,26,0,7,0,1
1,2,26,0,7,0,1
1,1,25,0,10,0,1
1,3,25,1,12,0,1
0,1,25,1,10,0,1
0,3,28,1,11,0,1
0,1,28,0,10,0,1
1,3,28,0,11,0,1
1,2,27,0,7,0,1
1,2,28,0,7,0,1
1,3,27,0,9,0,1
1,3,27,0,7,0,1
1,3,28,0,10,0,1
0,2,28,0,9,0,1
0,3,28,0,7,0,1
0,3,25,1,8,0,1
1,2,24,0,7,0,1
1,1,24,0,7,0,1
0,3,28,1,10,0,1
1,3,28,1,11,0,1
0,3,28,1,7,0,1
2,3,27,1,6,1,0
1,3,25,1,7,0,1
0,3,24,0,7,0,1
2,3,24,1,10,0,1
2,3,24,0,7,0,1
1,2,25,0,7,0,1
0,3,28,0,8,0,1
1,1,26,1,7,0,1
0,2,26,1,11,0,1
0,1,26,1,6,1,0
2,3,28,1,7,0,1
